Year,Title,Field,Type,Mode,Attendees
2023,AI & Machine Learning Workshops,AI & Machine Learning,In-House,Online,"Executives, Managers"
2023,Cloud Computing & DevOps Training,Cloud & DevOps,Public,Non-Online,"Non-Executives, Executives"
2023,Data Analytics & Visualization Bootcamps,Data Science,In-House,Online,"Managers, Executives"
2024,Leadership & Decision-Making Programs,Leadership,Overseas,Non-Online,"Top Management, Managers"
2024,Client Handling & AI Consultancy Training,Client Relations,Public,Non-Online,"Executives, Non-Executives"
2024,GDPR & Data Privacy Workshops,Compliance,In-House,Online,"Managers, Executives"
2025,Effective Communication in Tech Teams,Soft Skills,In-House,Non-Online,"Non-Executives, Executives"
2025,AI Ethics and Governance Training,AI Ethics,Public,Online,"Managers, Executives, Top Management"
2025,Cybersecurity & Risk Management,Cybersecurity,Overseas,Non-Online,"Managers, Executives, Top Management"
2025,AI-Powered Business Strategy,Business Strategy,Public,Online,"Top Management, Executives"
